suburb,state,postcode,property_type,buy_or_rent,bedrooms,available_in_the_past_month,in_the_past_12_months,median_time_on_market,interested,rental_yield,Median__price
melbourne,vic,3000,house,buy,all,4 houses ,5 sold ,38 days ,265 buyers ,2.5% ,–
east-melbourne,vic,3002,house,buy,all,12 houses ,21 sold ,67 days ,1806 buyers ,2.2% ,"$3,625,000"
west-melbourne,vic,3003,house,buy,all,6 houses ,18 sold ,35 days ,749 buyers ,2.6% ,"$1,430,000"
melbourne,vic,3004,house,buy,all,4 houses ,5 sold ,38 days ,265 buyers ,2.5% ,–
seddon,vic,3011,house,buy,all,26 houses ,98 sold ,42 days ,2132 buyers ,2.7% ,"$1,082,500"
maidstone,vic,3012,house,buy,all,29 houses ,67 sold ,36 days ,1030 buyers ,3.1% ,"$880,000"
west-footscray,vic,3012,house,buy,all,38 houses ,125 sold ,61 days ,2052 buyers ,2.6% ,"$970,000"
brooklyn,vic,3012,house,buy,all,11 houses ,24 sold ,156 days ,579 buyers ,2.6% ,"$801,875"
kingsville,vic,3012,house,buy,all,12 houses ,39 sold ,31 days ,647 buyers ,2.5% ,"$1,300,000.00"
yarraville,vic,3013,house,buy,all,57 houses ,182 sold ,42 days ,4016 buyers ,2.6% ,"$1,257,500"
newport,vic,3015,house,buy,all,66 houses ,169 sold ,50 days ,3141 buyers ,2.6% ,"$1,260,000"
south-kingsville,vic,3015,house,buy,all,8 houses ,26 sold ,25 days ,666 buyers ,2.8% ,"$992,500"
williamstown-north,vic,3016,house,buy,all,4 houses ,14 sold ,106 days ,259 buyers ,3.0% ,"$1,021,500"
williamstown,vic,3016,house,buy,all,36 houses ,180 sold ,58 days ,2798 buyers ,2.5% ,"$1,601,000"
altona,vic,3018,house,buy,all,66 houses ,128 sold ,41 days ,1997 buyers ,2.3% ,"$1,192,500"
albion,vic,3020,house,buy,all,18 houses ,35 sold ,105 days ,666 buyers ,2.6% ,"$800,000"
sunshine-north,vic,3020,house,buy,all,46 houses ,112 sold ,60 days ,1082 buyers ,2.6% ,"$758,250"
sunshine,vic,3020,house,buy,all,50 houses ,109 sold ,76 days ,1288 buyers ,2.4% ,"$860,000"
albanvale,vic,3021,house,buy,all,32 houses ,63 sold ,35 days ,675 buyers ,3.1% ,"$600,000"
st-albans,vic,3021,house,buy,all,168 houses ,326 sold ,50 days ,1595 buyers ,2.8% ,"$690,000"
kealba,vic,3021,house,buy,all,13 houses ,41 sold ,50 days ,639 buyers ,3.1% ,"$699,777"
kings-park,vic,3021,house,buy,all,29 houses ,79 sold ,27 days ,514 buyers ,3.1% ,"$630,000"
ardeer,vic,3022,house,buy,all,19 houses ,30 sold ,61 days ,408 buyers ,2.7% ,"$679,500"
deer-park,vic,3023,house,buy,all,57 houses ,189 sold ,43 days ,1603 buyers ,3.2% ,"$630,000"
caroline-springs,vic,3023,house,buy,all,93 houses ,320 sold ,34 days ,3372 buyers ,3.3% ,"$750,000"
wyndham-vale,vic,3024,house,buy,all,143 houses ,433 sold ,25 days ,2397 buyers ,3.4% ,"$575,000"
mambourin,vic,3024,house,buy,all,37 houses ,36 sold ,23 days ,234 buyers ,3.3% ,"$638,250"
altona-north,vic,3025,house,buy,all,71 houses ,164 sold ,60 days ,1814 buyers ,2.7% ,"$963,000"
williams-landing,vic,3027,house,buy,all,64 houses ,140 sold ,78 days ,1482 buyers ,3.2% ,"$790,000"
altona-meadows,vic,3028,house,buy,all,63 houses ,193 sold ,43 days ,1795 buyers ,2.9% ,"$750,000"
laverton,vic,3028,house,buy,all,58 houses ,87 sold ,85 days ,604 buyers ,2.9% ,"$600,000"
seabrook,vic,3028,house,buy,all,22 houses ,59 sold ,31 days ,642 buyers ,2.9% ,"$780,000"
hoppers-crossing,vic,3029,house,buy,all,161 houses ,531 sold ,34 days ,3411 buyers ,3.2% ,"$630,000"
point-cook,vic,3030,house,buy,all,388 houses ,1183 sold ,42 days ,5749 buyers ,3.1% ,"$760,000"
quandong,vic,3030,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
cocoroc,vic,3030,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
werribee-south,vic,3030,house,buy,all,12 houses ,38 sold ,61 days ,306 buyers ,3.2% ,"$822,500"
maribyrnong,vic,3032,house,buy,all,28 houses ,117 sold ,41 days ,1512 buyers ,3.0% ,"$1,011,888"
travancore,vic,3032,house,buy,all,3 houses ,8 sold ,58 days ,278 buyers ,2.1% ,–
ascot-vale,vic,3032,house,buy,all,46 houses ,130 sold ,36 days ,3158 buyers ,2.5% ,"$1,297,500.00"
keilor-east,vic,3033,house,buy,all,58 houses ,235 sold ,41 days ,3245 buyers ,2.6% ,"$1,030,000"
keilor,vic,3036,house,buy,all,23 houses ,72 sold ,47 days ,2172 buyers ,2.6% ,"$1,000,000"
hillside,vic,3037,house,buy,all,41 houses ,159 sold ,30 days ,2774 buyers ,3.3% ,"$800,000"
taylors-hill,vic,3037,house,buy,all,24 houses ,136 sold ,32 days ,1972 buyers ,3.2% ,"$901,000"
delahey,vic,3037,house,buy,all,21 houses ,68 sold ,24 days ,992 buyers ,3.3% ,"$650,000"
keilor-downs,vic,3038,house,buy,all,18 houses ,97 sold ,37 days ,773 buyers ,3.0% ,"$785,000.00"
taylors-lakes,vic,3038,house,buy,all,42 houses ,127 sold ,30 days ,3093 buyers ,2.9% ,"$925,000"
keilor-lodge,vic,3038,house,buy,all,5 houses ,19 sold ,30 days ,496 buyers ,3.0% ,"$870,000"
moonee-ponds,vic,3039,house,buy,all,43 houses ,155 sold ,54 days ,3966 buyers ,2.2% ,"$1,540,000"
essendon,vic,3040,house,buy,all,53 houses ,192 sold ,52 days ,4527 buyers ,2.0% ,"$1,792,500"
aberfeldie,vic,3040,house,buy,all,14 houses ,45 sold ,66 days ,1764 buyers ,1.8% ,"$1,945,000"
essendon-west,vic,3040,house,buy,all,6 houses ,22 sold ,34 days ,678 buyers ,2.1% ,"$1,435,000"
strathmore-heights,vic,3041,house,buy,all,5 houses ,10 sold ,71 days ,532 buyers ,2.7% ,"$920,000"
essendon-north,vic,3041,house,buy,all,4 houses ,22 sold ,43 days ,252 buyers ,2.1% ,"$1,530,000"
essendon-fields,vic,3041,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
keilor-park,vic,3042,house,buy,all,10 houses ,38 sold ,45 days ,565 buyers ,2.6% ,"$877,500"
airport-west,vic,3042,house,buy,all,27 houses ,96 sold ,45 days ,1735 buyers ,2.6% ,"$926,500"
niddrie,vic,3042,house,buy,all,16 houses ,72 sold ,52 days ,1580 buyers ,2.4% ,"$1,305,000"
gowanbrae,vic,3043,house,buy,all,9 houses ,32 sold ,72 days ,607 buyers ,3.0% ,"$900,000"
tullamarine,vic,3043,house,buy,all,22 houses ,54 sold ,47 days ,890 buyers ,2.9% ,"$770,000"
gladstone-park,vic,3043,house,buy,all,14 houses ,123 sold ,22 days ,925 buyers ,3.1% ,"$740,000.00"
pascoe-vale-south,vic,3044,house,buy,all,32 houses ,121 sold ,44 days ,2223 buyers ,2.3% ,"$1,175,000.00"
melbourne-airport,vic,3045,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
oak-park,vic,3046,house,buy,all,16 houses ,84 sold ,41 days ,1177 buyers ,2.4% ,"$1,150,000"
glenroy,vic,3046,house,buy,all,72 houses ,197 sold ,48 days ,2166 buyers ,2.8% ,"$827,000"
hadfield,vic,3046,house,buy,all,16 houses ,82 sold ,54 days ,754 buyers ,2.7% ,"$875,000"
dallas,vic,3047,house,buy,all,35 houses ,79 sold ,31 days ,778 buyers ,3.5% ,"$532,500"
meadow-heights,vic,3048,house,buy,all,54 houses ,126 sold ,55 days ,1174 buyers ,3.6% ,"$575,500.00"
attwood,vic,3049,house,buy,all,8 houses ,36 sold ,24 days ,630 buyers ,2.8% ,"$1,002,750.00"
parkville,vic,3052,house,buy,all,11 houses ,26 sold ,84 days ,1239 buyers ,2.6% ,"$1,915,000"
princes-hill,vic,3054,house,buy,all,9 houses ,25 sold ,33 days ,974 buyers ,2.3% ,"$1,825,000"
carlton-north,vic,3054,house,buy,all,21 houses ,80 sold ,45 days ,2403 buyers ,2.3% ,"$1,625,000"
brunswick-west,vic,3055,house,buy,all,23 houses ,97 sold ,37 days ,2190 buyers ,2.6% ,"$1,276,000"
brunswick-east,vic,3057,house,buy,all,26 houses ,87 sold ,58 days ,2276 buyers ,2.7% ,"$1,360,000"
coburg-north,vic,3058,house,buy,all,33 houses ,118 sold ,41 days ,2202 buyers ,2.9% ,"$985,000"
coburg,vic,3058,house,buy,all,73 houses ,299 sold ,45 days ,4174 buyers ,2.6% ,"$1,216,000"
greenvale,vic,3059,house,buy,all,123 houses ,322 sold ,36 days ,4312 buyers ,3.3% ,"$884,500"
fawkner,vic,3060,house,buy,all,54 houses ,149 sold ,42 days ,1803 buyers ,2.9% ,"$780,000"
campbellfield,vic,3061,house,buy,all,11 houses ,41 sold ,50 days ,402 buyers ,3.5% ,"$620,000"
somerton,vic,3062,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
yuroke,vic,3063,house,buy,all,3 houses ,1 sold ,– ,92 buyers ,5.7% ,–
oaklands-junction,vic,3063,house,buy,all,1 houses ,7 sold ,36 days ,121 buyers ,1.4% ,–
kalkallo,vic,3064,house,buy,all,79 houses ,198 sold ,46 days ,971 buyers ,3.5% ,"$650,000.00"
mickleham,vic,3064,house,buy,all,197 houses ,430 sold ,45 days ,2476 buyers ,3.5% ,"$680,000"
roxburgh-park,vic,3064,house,buy,all,88 houses ,265 sold ,36 days ,1851 buyers ,3.6% ,"$650,000"
craigieburn,vic,3064,house,buy,all,269 houses ,1065 sold ,42 days ,4928 buyers ,3.5% ,"$653,000"
fitzroy,vic,3065,house,buy,all,20 houses ,89 sold ,48 days ,2469 buyers ,2.6% ,"$1,500,000"
abbotsford,vic,3067,house,buy,all,23 houses ,81 sold ,38 days ,2031 buyers ,2.8% ,"$1,340,000"
fitzroy-north,vic,3068,house,buy,all,34 houses ,126 sold ,42 days ,2845 buyers ,2.5% ,"$1,603,500"
clifton-hill,vic,3068,house,buy,all,20 houses ,88 sold ,37 days ,1949 buyers ,2.4% ,"$1,715,000"
northcote,vic,3070,house,buy,all,78 houses ,259 sold ,38 days ,6032 buyers ,2.3% ,"$1,675,000"
thornbury,vic,3071,house,buy,all,65 houses ,172 sold ,41 days ,4373 buyers ,2.5% ,"$1,467,500"
preston,vic,3072,house,buy,all,85 houses ,278 sold ,43 days ,4577 buyers ,2.4% ,"$1,158,500"
reservoir,vic,3073,house,buy,all,160 houses ,452 sold ,57 days ,4797 buyers ,2.5% ,"$915,000"
epping,vic,3076,house,buy,all,79 houses ,425 sold ,36 days ,2762 buyers ,3.3% ,"$675,000"
alphington,vic,3078,house,buy,all,14 houses ,46 sold ,38 days ,1134 buyers ,2.5% ,"$2,072,500"
fairfield,vic,3078,house,buy,all,18 houses ,62 sold ,49 days ,1515 buyers ,2.1% ,"$1,782,500"
ivanhoe,vic,3079,house,buy,all,29 houses ,112 sold ,44 days ,2470 buyers ,2.1% ,"$1,775,000"
bellfield,vic,3081,house,buy,all,12 houses ,17 sold ,22 days ,563 buyers ,2.4% ,"$1,051,000.00"
heidelberg-heights,vic,3081,house,buy,all,16 houses ,90 sold ,32 days ,1084 buyers ,2.5% ,"$991,000"
mill-park,vic,3082,house,buy,all,65 houses ,307 sold ,49 days ,3547 buyers ,3.0% ,"$785,000"
kingsbury,vic,3083,house,buy,all,11 houses ,33 sold ,51 days ,437 buyers ,2.6% ,"$808,000"
viewbank,vic,3084,house,buy,all,20 houses ,82 sold ,30 days ,1598 buyers ,2.5% ,"$1,212,500"
rosanna,vic,3084,house,buy,all,23 houses ,86 sold ,33 days ,1827 buyers ,2.2% ,"$1,242,499"
heidelberg,vic,3084,house,buy,all,15 houses ,45 sold ,50 days ,2066 buyers ,2.2% ,"$1,460,000.00"
eaglemont,vic,3084,house,buy,all,18 houses ,40 sold ,40 days ,1449 buyers ,1.6% ,"$2,412,500"
yallambie,vic,3085,house,buy,all,14 houses ,42 sold ,29 days ,1887 buyers ,2.6% ,"$1,005,250"
macleod,vic,3085,house,buy,all,20 houses ,91 sold ,32 days ,2756 buyers ,2.4% ,"$1,125,000"
watsonia-north,vic,3087,house,buy,all,11 houses ,50 sold ,29 days ,846 buyers ,2.7% ,"$910,000"
watsonia,vic,3087,house,buy,all,16 houses ,57 sold ,27 days ,1397 buyers ,2.5% ,"$935,000"
greensborough,vic,3088,house,buy,all,58 houses ,240 sold ,29 days ,4124 buyers ,2.8% ,"$1,000,000"
st-helena,vic,3088,house,buy,all,7 houses ,21 sold ,30 days ,640 buyers ,2.9% ,"$1,200,000"
plenty,vic,3090,house,buy,all,10 houses ,19 sold ,23 days ,941 buyers ,2.1% ,"$1,697,000"
yarrambat,vic,3091,house,buy,all,11 houses ,20 sold ,29 days ,1049 buyers ,2.3% ,"$1,893,500"
montmorency,vic,3094,house,buy,all,36 houses ,87 sold ,29 days ,2922 buyers ,2.5% ,"$1,159,000"
research,vic,3095,house,buy,all,10 houses ,26 sold ,28 days ,1072 buyers ,2.9% ,"$1,535,000"
eltham,vic,3095,house,buy,all,72 houses ,186 sold ,28 days ,5932 buyers ,2.7% ,"$1,277,500"
eltham-north,vic,3095,house,buy,all,21 houses ,68 sold ,33 days ,1860 buyers ,2.8% ,"$1,250,000"
wattle-glen,vic,3096,house,buy,all,2 houses ,24 sold ,28 days ,355 buyers ,3.5% ,"$962,500"
bend-of-islands,vic,3097,house,buy,all,2 houses ,1 sold ,76 days ,130 buyers ,– ,–
watsons-creek,vic,3097,house,buy,all,0 houses ,0 sold ,122 days ,0 buyers ,– ,–
strathewen,vic,3099,house,buy,all,0 houses ,1 sold ,10 days ,0 buyers ,2.1% ,–
hurstbridge,vic,3099,house,buy,all,18 houses ,48 sold ,22 days ,1495 buyers ,3.0% ,"$957,500"
arthurs-creek,vic,3099,house,buy,all,1 houses ,2 sold ,31 days ,163 buyers ,3.2% ,–
cottles-bridge,vic,3099,house,buy,all,2 houses ,4 sold ,16 days ,184 buyers ,– ,–
nutfield,vic,3099,house,buy,all,0 houses ,2 sold ,86 days ,0 buyers ,– ,–
kew,vic,3101,house,buy,all,69 houses ,271 sold ,46 days ,7135 buyers ,2.2% ,"$2,800,000"
balwyn-north,vic,3104,house,buy,all,76 houses ,298 sold ,44 days ,3907 buyers ,1.7% ,"$2,294,000"
bulleen,vic,3105,house,buy,all,40 houses ,151 sold ,29 days ,2702 buyers ,2.1% ,"$1,400,000"
templestowe,vic,3106,house,buy,all,52 houses ,147 sold ,44 days ,4949 buyers ,2.3% ,"$1,700,000"
templestowe-lower,vic,3107,house,buy,all,51 houses ,164 sold ,40 days ,3065 buyers ,2.2% ,"$1,390,500"
donvale,vic,3111,house,buy,all,38 houses ,109 sold ,31 days ,3697 buyers ,2.3% ,"$1,600,000"
wonga-park,vic,3115,house,buy,all,12 houses ,56 sold ,47 days ,1430 buyers ,2.5% ,"$1,673,750"
chirnside-park,vic,3116,house,buy,all,48 houses ,189 sold ,20 days ,3234 buyers ,3.2% ,"$900,000"
hawthorn,vic,3122,house,buy,all,45 houses ,163 sold ,37 days ,5924 buyers ,2.1% ,"$2,305,000"
burwood,vic,3125,house,buy,all,41 houses ,129 sold ,36 days ,3222 buyers ,2.1% ,"$1,382,000"
surrey-hills,vic,3127,house,buy,all,39 houses ,140 sold ,40 days ,3495 buyers ,2.0% ,"$2,215,000"
mont-albert,vic,3127,house,buy,all,12 houses ,60 sold ,40 days ,992 buyers ,1.8% ,"$2,264,000"
box-hill,vic,3128,house,buy,all,13 houses ,56 sold ,38 days ,682 buyers ,1.8% ,"$1,645,000"
mont-albert-north,vic,3129,house,buy,all,17 houses ,58 sold ,39 days ,2145 buyers ,2.1% ,"$1,620,500"
blackburn-north,vic,3130,house,buy,all,25 houses ,77 sold ,29 days ,2616 buyers ,2.1% ,"$1,270,000"
blackburn-south,vic,3130,house,buy,all,31 houses ,126 sold ,31 days ,2471 buyers ,2.1% ,"$1,300,000"
blackburn,vic,3130,house,buy,all,41 houses ,127 sold ,45 days ,3860 buyers ,1.9% ,"$1,549,000"
vermont,vic,3133,house,buy,all,33 houses ,116 sold ,31 days ,3180 buyers ,2.2% ,"$1,187,000"
warrandyte-south,vic,3134,house,buy,all,3 houses ,8 sold ,44 days ,995 buyers ,2.5% ,–
warranwood,vic,3134,house,buy,all,15 houses ,53 sold ,23 days ,1588 buyers ,2.8% ,"$1,345,000"
ringwood-north,vic,3134,house,buy,all,43 houses ,129 sold ,29 days ,3784 buyers ,2.6% ,"$1,200,000"
ringwood,vic,3134,house,buy,all,55 houses ,158 sold ,28 days ,4430 buyers ,2.5% ,"$1,026,500"
ringwood-east,vic,3135,house,buy,all,30 houses ,107 sold ,28 days ,2749 buyers ,2.6% ,"$950,000"
heathmont,vic,3135,house,buy,all,28 houses ,124 sold ,24 days ,3095 buyers ,2.6% ,"$1,064,750"
croydon-north,vic,3136,house,buy,all,32 houses ,101 sold ,23 days ,2425 buyers ,3.1% ,"$1,053,800"
croydon-south,vic,3136,house,buy,all,22 houses ,68 sold ,17 days ,1966 buyers ,2.9% ,"$870,000"
croydon-hills,vic,3136,house,buy,all,10 houses ,54 sold ,24 days ,1010 buyers ,2.9% ,"$1,085,000"
croydon,vic,3136,house,buy,all,91 houses ,323 sold ,24 days ,6227 buyers ,2.9% ,"$904,000"
kilsyth,vic,3137,house,buy,all,35 houses ,163 sold ,22 days ,2568 buyers ,3.2% ,"$835,000"
kilsyth-south,vic,3137,house,buy,all,3 houses ,28 sold ,23 days ,267 buyers ,2.9% ,"$1,185,000"
mooroolbark,vic,3138,house,buy,all,78 houses ,322 sold ,23 days ,4027 buyers ,3.2% ,"$850,000"
hoddles-creek,vic,3139,house,buy,all,8 houses ,12 sold ,48 days ,568 buyers ,– ,"$1,250,000"
beenak,vic,3139,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
seville,vic,3139,house,buy,all,12 houses ,28 sold ,16 days ,899 buyers ,2.9% ,"$831,500"
woori-yallock,vic,3139,house,buy,all,23 houses ,57 sold ,19 days ,1117 buyers ,3.0% ,"$690,000"
yellingbo,vic,3139,house,buy,all,2 houses ,3 sold ,31 days ,297 buyers ,1.6% ,–
wandin-north,vic,3139,house,buy,all,10 houses ,28 sold ,19 days ,825 buyers ,2.6% ,"$912,750"
launching-place,vic,3139,house,buy,all,11 houses ,44 sold ,20 days ,564 buyers ,3.2% ,"$805,000"
seville-east,vic,3139,house,buy,all,1 houses ,7 sold ,14 days ,153 buyers ,2.9% ,–
lilydale,vic,3140,house,buy,all,59 houses ,264 sold ,16 days ,3106 buyers ,3.3% ,"$860,000"
south-yarra,vic,3141,house,buy,all,35 houses ,126 sold ,61 days ,4739 buyers ,2.4% ,"$2,130,750"
toorak,vic,3142,house,buy,all,63 houses ,111 sold ,42 days ,5880 buyers ,1.8% ,"$5,000,000"
armadale,vic,3143,house,buy,all,27 houses ,90 sold ,47 days ,2465 buyers ,2.2% ,"$2,491,000"
kooyong,vic,3144,house,buy,all,2 houses ,6 sold ,29 days ,308 buyers ,1.8% ,–
malvern,vic,3144,house,buy,all,29 houses ,121 sold ,32 days ,3743 buyers ,2.2% ,"$2,890,000"
malvern-east,vic,3145,house,buy,all,76 houses ,225 sold ,40 days ,6722 buyers ,2.0% ,"$2,180,000"
glen-iris,vic,3146,house,buy,all,68 houses ,261 sold ,37 days ,5793 buyers ,1.8% ,"$2,500,000"
ashwood,vic,3147,house,buy,all,18 houses ,62 sold ,38 days ,1594 buyers ,1.9% ,"$1,490,500"
ashburton,vic,3147,house,buy,all,29 houses ,98 sold ,33 days ,2121 buyers ,1.8% ,"$2,027,500"
chadstone,vic,3148,house,buy,all,30 houses ,72 sold ,56 days ,1937 buyers ,2.3% ,"$1,210,000"
mount-waverley,vic,3149,house,buy,all,106 houses ,362 sold ,44 days ,6013 buyers ,1.9% ,"$1,558,500"
wheelers-hill,vic,3150,house,buy,all,49 houses ,185 sold ,35 days ,3989 buyers ,2.3% ,"$1,429,000"
glen-waverley,vic,3150,house,buy,all,138 houses ,406 sold ,37 days ,6124 buyers ,1.9% ,"$1,605,000"
wantirna-south,vic,3152,house,buy,all,48 houses ,191 sold ,36 days ,3139 buyers ,2.5% ,"$1,200,000"
bayswater-north,vic,3153,house,buy,all,21 houses ,79 sold ,19 days ,1290 buyers ,2.9% ,"$867,000"
bayswater,vic,3153,house,buy,all,35 houses ,108 sold ,26 days ,2243 buyers ,2.7% ,"$920,000.00"
the-basin,vic,3154,house,buy,all,12 houses ,60 sold ,23 days ,1537 buyers ,3.0% ,"$864,000"
boronia,vic,3155,house,buy,all,67 houses ,201 sold ,23 days ,2955 buyers ,2.8% ,"$861,000"
lysterfield-south,vic,3156,house,buy,all,4 houses ,9 sold ,31 days ,556 buyers ,4.4% ,–
lysterfield,vic,3156,house,buy,all,14 houses ,86 sold ,28 days ,1578 buyers ,2.7% ,"$1,315,000"
upper-ferntree-gully,vic,3156,house,buy,all,11 houses ,35 sold ,13 days ,1658 buyers ,2.8% ,"$905,000"
ferntree-gully,vic,3156,house,buy,all,66 houses ,271 sold ,28 days ,4388 buyers ,2.8% ,"$878,000"
menzies-creek,vic,3159,house,buy,all,4 houses ,15 sold ,31 days ,437 buyers ,3.5% ,"$980,000"
selby,vic,3159,house,buy,all,8 houses ,22 sold ,27 days ,1522 buyers ,3.2% ,"$856,500"
